Corr,Fraction,Item,Realm
0.8805747038904854,horde,死亡的鼴鼠,bleeding-hollow
0.8201302987207255,alliance,冒險者木盔,kiljaeden
0.8010137494189665,alliance,圖樣:重型蠍殼腰帶,kiljaeden
0.8256586716850461,alliance,幻光護杖,kelthuzad
0.8257932224990003,alliance,陷捕者護腿,kelthuzad
0.8002259465377998,alliance,血腥之弩,kelthuzad
0.8159568940869263,alliance,鐵片刃,kelthuzad
0.8063941096578677,alliance,配方:透明治療藥水,kelthuzad
0.8169738327709315,alliance,肉排,kelthuzad
0.999990928734914,alliance,僧侶法杖,area-52
0.999989576843542,alliance,蠻兵裹踝,area-52
0.8009820156618962,alliance,強效不滅精華,area-52
0.8377431696409257,alliance,侍徒外衣,area-52
0.8214155584065531,alliance,作戰小刀,area-52
0.9140814671709702,alliance,奧金錠,area-52
-0.8238026481211207,horde,陶土戒指,area-52
0.8014241006903545,horde,暮光加密文件,area-52
0.8435116844876348,horde,暗月卡:颶風,area-52
0.8164518674613099,alliance,尖刺鈷藍頭盔,stormrage
0.8627575769990414,alliance,《大師傳奇》第一章,stormrage
0.806258372576244,alliance,鈷藍肉錘,stormrage
0.814484755981213,alliance,火山護肩,stormrage
0.8060915103304878,horde,格羅姆之血,stormrage
-0.8179735419616956,horde,托維爾藥水,stormrage
0.8003266722986879,horde,神廟脛甲,stormrage
0.8085200809843767,horde,高貴的銀戒指,stormrage
0.8341853971321175,horde,迅速的太陽光輝,stormrage
0.8120123907983889,horde,巧妙的猛虎蛋白石,stormrage
0.8571184934456684,alliance,魔焰包,zuljin
-0.844622374476291,alliance,附魔披風 - 強效速度,zuljin
0.8042222916189269,alliance,附魔胸甲 - 強效屬性,zuljin
0.8004355762920942,alliance,土著纏腰,zuljin
0.8092270131090028,alliance,劫毀者之冠,zuljin
0.8363984307725677,alliance,暗霧手甲,zuljin
0.9418311000083458,alliance,水晶瓶,proudmoore
0.8486913552165203,alliance,冰霧軟靴,proudmoore
0.8522562468040189,alliance,鑲飾巨劍,proudmoore
0.9337313588143664,alliance,附魔護腕 - 初級力量,proudmoore
0.8336963435883872,alliance,爭奪者絲質裹足,proudmoore
0.9999648911772449,alliance,霜掌護脛,proudmoore
0.8209737984768859,alliance,約束應允,proudmoore
0.9221531214279184,alliance,灌魔步兵護腕,proudmoore
0.8949794880611893,alliance,精製驚懼鬥士矯捷臂鎧,proudmoore
0.8243356817586934,alliance,咒術師之球,proudmoore
0.8051270840647692,horde,凹槽鈷藍戰斧,proudmoore
0.8200859659293362,horde,艾斯特蘭肩墊,proudmoore
-0.8127418963630494,horde,看守者長袍,proudmoore
0.8517247813945035,horde,祝福套卡之四,proudmoore
0.8527729150880857,horde,翔雲手冊,proudmoore
-0.8247118454288926,horde,重型蠍殼護腕,proudmoore
0.8377536128358954,alliance,古舊影牙面甲,moon-guard
0.8097240590898906,alliance,元素之核,moon-guard
0.8068270265705985,alliance,布列塔尼儀祭肩甲,moon-guard
0.8482909632750126,alliance,吉爾尼斯陷捕者長靴,moon-guard
0.8436007171174076,alliance,吉爾尼斯陷捕者手套,moon-guard
0.8486894754638779,horde,附魔武器 - 敏捷,moon-guard
0.8093615420407487,horde,守望指虎,moon-guard
0.8145551984895736,horde,日落肩甲,moon-guard
0.8529251487583306,horde,死亡的鼴鼠,moon-guard
0.8608621708033865,horde,圖樣:暗影兜帽,moon-guard
0.8461146846758246,horde,綠石咒符,moon-guard
0.8255853799416994,horde,匕鞘上衣,moon-guard
0.8156394987557863,horde,附魔盾牌 - 防護,moon-guard
0.9046301952148924,horde,硬皮甲,moon-guard
0.8864262745415993,horde,硬皮束褲,moon-guard
0.8468924696578126,alliance,設計圖:毀滅者之黑握,thrall
0.8243331284791533,horde,惡魔布束褲,thrall
0.8880038714086304,horde,設計圖:魔鐵強化槌,thrall
0.8345257488826151,horde,陷捕者頭盔,thrall
0.8854482977958642,horde,魔鱗長靴,thrall
0.825201079212117,alliance,圖樣:黑暗之手,wyrmrest-accord
0.8638523957396306,horde,異教徒長袍,wyrmrest-accord
0.8085625844820903,horde,鋼火長矛,wyrmrest-accord
0.8505333075416897,horde,兇惡燼絲斗篷,wyrmrest-accord
0.8121664814355501,horde,盜賊襯衣,wyrmrest-accord
0.8072645435143211,alliance,矛騎兵護手,lightbringer
0.8658850999541731,alliance,冰降護腿,lightbringer
0.8672817630283445,horde,黑絲襯衣,lightbringer
0.8146033731539449,horde,長尾鯊手套,lightbringer
0.8565650405231809,horde,先知腰帶,lightbringer
0.8252759714945749,horde,逃脫路徑皇家指南,lightbringer
0.8083014857371726,horde,燒焦的雕紋,illidan
0.8073079671067711,horde,霜鱗護腕,illidan
0.8483178405286735,horde,稜光之四,illidan
