Enchanting,Item ID,Item Level,Item Name,Required Level,Usage
450.0,67115.0,316.0,魂心束腕,83.0,手腕
475.0,82397.0,384.0,風絨兜帽,85.0,頭部
475.0,82399.0,384.0,風絨外套,85.0,胸部
550.0,98817.0,476.0,精製狠毒鬥士矯捷脛甲,90.0,腳
550.0,98819.0,476.0,精製狠毒鬥士精準腕甲,90.0,手腕
550.0,98859.0,476.0,精製狠毒鬥士精準束腰,90.0,腰部
550.0,98892.0,476.0,精製狠毒鬥士無畏臂環,90.0,手腕
225.0,31127.0,85.0,圖騰之怒鍊衫,60.0,胸部
200.0,11605.0,56.0,黑鐵護肩,51.0,肩部
75.0,14763.0,32.0,耐久斗篷,27.0,背部
,6836.0,1.0,禮服輕鞋,,腳
,6836.0,1.0,禮服輕鞋,,腳
150.0,9960.0,47.0,好戰者護手,42.0,手
100.0,11971.0,37.0,紫水晶指環,32.0,手指
125.0,14417.0,44.0,絲沙外套,39.0,胸部
125.0,15161.0,43.0,壯麗腰帶,38.0,腰部
550.0,98849.0,476.0,精製狠毒鬥士冥想扣環,90.0,腰部
100.0,14418.0,39.0,絲沙長靴,34.0,腳
100.0,14418.0,39.0,絲沙長靴,34.0,腳
125.0,15606.0,41.0,遠古腰帶,36.0,腰部
100.0,6422.0,39.0,雕紋頭盔,34.0,頭部
125.0,6431.0,43.0,帝王皮靴,38.0,腳
325.0,37890.0,200.0,鎖鍊幫腿甲,80.0,腿部
25.0,6572.0,23.0,防衛者之盾,18.0,盾牌
200.0,8308.0,60.0,風暴罩盔,55.0,頭部
1.0,14119.0,17.0,土著纏腰,12.0,腿部
150.0,14249.0,47.0,新月外衣,42.0,胸部
125.0,14774.0,43.0,劫毀者之冠,38.0,頭部
100.0,15368.0,39.0,狡詐肩鎧,34.0,肩部
50.0,15529.0,29.0,哨衛護腿,24.0,腿部
125.0,15584.0,41.0,火殼盾牌,36.0,盾牌
125.0,15964.0,44.0,絲沙之星,39.0,副手物品
75.0,6609.0,32.0,賢者護甲,27.0,胸部
200.0,8302.0,58.0,英雄護腕,53.0,手腕
150.0,10092.0,47.0,哥德鎧甲肩甲,42.0,肩部
125.0,14241.0,41.0,暗霧手甲,36.0,手
125.0,15978.0,41.0,地卜師節杖,36.0,副手物品
325.0,42095.0,187.0,聖光祝福連指手套,80.0,手
200.0,8293.0,56.0,旅人腰帶,51.0,腰部
175.0,14274.0,51.0,蓋亞護腿,46.0,腿部
175.0,14795.0,53.0,保衛者頭盔,48.0,頭部
75.0,15148.0,34.0,鬼行者腰帶,29.0,腰部
175.0,15395.0,53.0,碧火肩冑,48.0,肩部
225.0,15667.0,61.0,深奧盾牌,56.0,盾牌
200.0,8300.0,60.0,旅人護腿,55.0,腿部
175.0,14668.0,52.0,守衛者毛褲,47.0,腿部
425.0,55558.0,312.0,晶脈束腰,84.0,腰部
25.0,6577.0,23.0,防衛者護手,18.0,手
100.0,9877.0,38.0,巫士披風,33.0,背部
1.0,14563.0,17.0,勘察員的披風,12.0,背部
1.0,15493.0,18.0,血斑纏腰,13.0,腿部
350.0,36148.0,170.0,小巧長靴,77.0,腳
325.0,36420.0,142.0,寶石戒指,70.0,手指
425.0,54482.0,300.0,靈魂癒療長靴,82.0,腳
425.0,55672.0,295.0,石牙兜帽,81.0,頭部
425.0,55762.0,295.0,亮木肩墊,81.0,肩部
525.0,90476.0,415.0,風絨手套,85.0,手
175.0,8134.0,51.0,部屬防衛者,46.0,盾牌
100.0,9876.0,40.0,巫士軟靴,35.0,腳
275.0,24874.0,105.0,鐵脊頭盔,65.0,頭部
175.0,14919.0,52.0,碧玉頭環,47.0,頭部
175.0,8254.0,53.0,帝王紅色頭環,48.0,頭部
125.0,6423.0,45.0,黑爐護脛,40.0,腳
125.0,15591.0,43.0,堅定胸甲,38.0,胸部
150.0,15625.0,47.0,獅鷲獸鎖甲護手,42.0,手
100.0,14207.0,36.0,活力護腿,31.0,腿部
75.0,13087.0,33.0,河流之傲頸飾,28.0,頸部
25.0,15519.0,23.0,尖刺鍊甲披風,18.0,背部
300.0,30738.0,120.0,互惠之戒,70.0,手指
125.0,10004.0,43.0,影紋長袍,38.0,胸部（長袍）
325.0,38417.0,146.0,奈幽護肩,73.0,肩部
25.0,15506.0,21.0,蠻兵裹踝,16.0,腳
1.0,6266.0,13.0,侍徒外衣,8.0,胸部
125.0,6428.0,43.0,霧景手套,38.0,手
525.0,90905.0,415.0,暗影火焰項鍊,85.0,頸部
50.0,6387.0,29.0,稀光鎖甲護腕,24.0,手腕
25.0,11993.0,22.0,陶土戒指,17.0,手指
225.0,14688.0,61.0,不撓肩冑,56.0,肩部
225.0,31177.0,91.0,岩龍鱗片護手,62.0,手
225.0,31177.0,91.0,岩龍鱗片護手,62.0,手
325.0,44685.0,175.0,鈣化織網肩甲,74.0,肩部
450.0,75074.0,377.0,兇惡藍寶石項鍊,85.0,頸部
50.0,14379.0,29.0,血紅長褲,24.0,腿部
,58247.0,1.0,陷捕者外衣,,胸部
550.0,93584.0,458.0,精製驚懼鬥士鎖鍊護甲,90.0,胸部
,845.0,17.0,棕色皮束褲,12.0,腿部
475.0,78879.0,397.0,無情真相束帶,85.0,腰部
1.0,3471.0,10.0,銅質鍊甲外衣,5.0,胸部
125.0,7488.0,42.0,上尉頭環,37.0,頭部
125.0,7488.0,42.0,上尉頭環,37.0,頭部
100.0,8158.0,40.0,矛騎兵護手,40.0,手
50.0,14186.0,29.0,喚雨者披肩,24.0,肩部
75.0,14211.0,34.0,活力裹手,29.0,手
175.0,14295.0,55.0,蛛魔腿甲,50.0,腿部
200.0,14675.0,56.0,豪族手套,51.0,手
275.0,24759.0,105.0,昂布拉凡外套,65.0,胸部
275.0,24902.0,117.0,雄鹿皮縫製腰帶,69.0,腰部
350.0,36135.0,162.0,狼獾軟帽,75.0,頭部
325.0,36335.0,150.0,灰喉頭盔,72.0,頭部
425.0,55737.0,306.0,密斯特拉裹手,83.0,手
475.0,82199.0,400.0,格狀便鞋,87.0,腳
125.0,13068.0,42.0,黑曜石護脛,40.0,腳
200.0,13871.0,56.0,霜紋束褲,51.0,腿部
325.0,36215.0,146.0,虎鯨盔帽,71.0,頭部
225.0,21779.0,62.0,天火指環,57.0,手指
325.0,40674.0,163.0,淬鍛薩鋼腿鎧,74.0,腿部
550.0,93620.0,458.0,精製驚懼鬥士鎧甲護軀,90.0,胸部
325.0,38410.0,142.0,冰降護腿,70.0,腿部
,44647.0,1.0,紫羅蘭帽,,頭部
25.0,9818.0,25.0,固化鍊甲,20.0,胸部
25.0,43515.0,22.0,奧秘典籍,15.0,副手物品
475.0,82258.0,429.0,藤蔓長靴,88.0,腳
550.0,98757.0,476.0,精製狠毒鬥士無畏斗篷,90.0,背部
550.0,98770.0,476.0,精製狠毒鬥士無畏腕輪,90.0,手腕
,4333.0,1.0,黑絲襯衣,,襯衣
,18231.0,1.0,無袖T恤衫,,襯衣
275.0,24906.0,117.0,雄鹿皮盔帽,69.0,頭部
475.0,82205.0,400.0,長尾鯊手套,87.0,手
1.0,4699.0,18.0,先知腰帶,13.0,腰部
225.0,24722.0,90.0,崔互德長褲,60.0,腿部
75.0,43657.0,35.0,逃脫路徑皇家指南,30.0,副手物品
25.0,6578.0,23.0,防衛者護腿,18.0,腿部
175.0,10196.0,52.0,十字軍護手,47.0,手
200.0,10280.0,59.0,翡翠腿鎧,54.0,腿部
225.0,10388.0,63.0,巨神頭盔,58.0,頭部
275.0,24769.0,108.0,裂蹄頭罩,66.0,頭部
225.0,24807.0,81.0,不屈裹足,57.0,腳
225.0,25044.0,81.0,紅碧之戒,57.0,手指
300.0,30727.0,120.0,祝福鍍金長褲,70.0,腿部
325.0,38419.0,142.0,奈幽長靴,72.0,腳
350.0,40955.0,162.0,鈷藍角盔,75.0,頭部
150.0,8346.0,46.0,深海護手,41.0,手
150.0,14434.0,49.0,逐風長袍,44.0,胸部（長袍）
325.0,38440.0,150.0,霜鱗頭盔,74.0,頭部
125.0,7063.0,41.0,赤紅絲質長袍,36.0,胸部（長袍）
125.0,7064.0,42.0,赤紅絲質手套,37.0,手
150.0,8108.0,47.0,寒冬護腕,42.0,手腕
50.0,14163.0,26.0,異教徒長袍,21.0,胸部（長袍）
100.0,14235.0,37.0,灰絲之索,32.0,腰部
150.0,14965.0,49.0,牛頭人酋長束腕,44.0,手腕
,62103.0,150.0,凹痕帽子,80.0,頭部
450.0,75065.0,377.0,兇惡燼絲斗篷,85.0,背部
475.0,82075.0,377.0,磚瓦護臂,84.0,手腕
475.0,82141.0,403.0,釀酒者的裹手,86.0,手
,49.0,1.0,盜賊襯衣,,襯衣
325.0,37764.0,142.0,熔核犬牙肩墊,72.0,肩部
325.0,43129.0,187.0,鋒擊胸甲,78.0,胸部
,49408.0,1.0,吉爾尼斯侍僧長袍,1.0,胸部（長袍）
550.0,93433.0,458.0,精製驚懼鬥士冥想足靴,90.0,腳
,6833.0,1.0,白色禮服襯衣,,襯衣
,6835.0,23.0,黑色禮服束褲,,腿部
325.0,40942.0,142.0,尖刺鈷藍頭盔,68.0,頭部
550.0,93439.0,458.0,精製驚懼鬥士冥想披氅,90.0,背部
325.0,43255.0,187.0,海沫護手,78.0,手
225.0,15055.0,61.0,火山護肩,56.0,肩部
475.0,82293.0,429.0,神廟脛甲,88.0,腳
25.0,20818.0,22.0,高貴的銀戒指,17.0,手指
475.0,82196.0,400.0,格狀裹手,87.0,手
225.0,25656.0,99.0,魔鱗束褲,63.0,腿部
350.0,36146.0,166.0,吉瑞諾護腕,76.0,手腕
,2584.0,16.0,毛紡斗篷,11.0,背部
150.0,14792.0,50.0,保衛者護手,45.0,手
225.0,24744.0,99.0,遊俠手套,63.0,手
175.0,14790.0,54.0,保衛者圓盾,49.0,盾牌
350.0,36369.0,166.0,象人肩鎧,76.0,肩部
25.0,2989.0,21.0,光潔鍊甲外套,16.0,胸部
75.0,3020.0,33.0,耐久軟帽,28.0,頭部
100.0,4041.0,39.0,極光風帽,34.0,頭部
75.0,4721.0,35.0,徽記披肩,30.0,肩部
100.0,4731.0,39.0,雕紋肩冑,34.0,肩部
150.0,6430.0,46.0,帝王皮胸甲,41.0,胸部
1.0,6547.0,17.0,士兵護手,12.0,手
100.0,7458.0,37.0,騎士的靴子,32.0,腳
100.0,7465.0,39.0,騎士紋章盾,34.0,盾牌
125.0,8139.0,44.0,鉻鐵護手,40.0,手
175.0,10070.0,55.0,公正護甲,50.0,胸部
225.0,10139.0,62.0,高等參事頭環,57.0,頭部
225.0,10227.0,62.0,噩夢護腿,57.0,腿部
225.0,10257.0,62.0,冒險者的靴子,57.0,腳
225.0,10261.0,63.0,冒險者頭巾,58.0,頭部
200.0,10377.0,59.0,指揮官護臂,54.0,手腕
125.0,13132.0,43.0,骷髏護肩,38.0,肩部
1.0,14090.0,11.0,串珠馬褲,6.0,腿部
125.0,14255.0,42.0,月之腰帶,36.0,腰部
225.0,14312.0,61.0,天國之冠,56.0,頭部
225.0,14317.0,61.0,天國絲袍,56.0,胸部（長袍）
200.0,14323.0,60.0,璀璨護手,55.0,手
150.0,14442.0,49.0,毒幕長手套,44.0,手
200.0,14465.0,60.0,月語腰帶,55.0,腰部
225.0,14687.0,62.0,不撓護腿,57.0,腿部
1.0,14722.0,17.0,戰痕裹踝,12.0,腳
1.0,14726.0,18.0,戰痕手套,13.0,手
50.0,14749.0,26.0,笨重肩甲,21.0,肩部
75.0,14751.0,33.0,殺戮者外套,28.0,胸部
150.0,14848.0,50.0,日鱗脛甲,45.0,腳
200.0,14859.0,57.0,先鋒腿鎧,52.0,腿部
200.0,14865.0,60.0,領軍護脛,55.0,腳
225.0,14868.0,61.0,領軍護肩,56.0,肩部
225.0,14976.0,61.0,尊貴護手,56.0,手
200.0,15189.0,60.0,豪華長靴,55.0,腳
75.0,15358.0,35.0,獵頭者毛褲,30.0,腿部
200.0,15430.0,60.0,無雙頭帶,55.0,頭部
200.0,15436.0,60.0,至高護腕,55.0,手腕
125.0,15593.0,42.0,堅定頭冠,37.0,頭部
225.0,15669.0,62.0,莊嚴胸甲,57.0,胸部
75.0,15892.0,32.0,殺戮者盾牌,27.0,盾牌
275.0,24649.0,105.0,艾斯特蘭頭飾,65.0,頭部
275.0,24682.0,117.0,大法師束褲,69.0,腿部
275.0,24772.0,108.0,裂蹄護腕,66.0,手腕
275.0,24797.0,117.0,遠征隊護腕,69.0,手腕
225.0,24843.0,93.0,怒鰭腿甲,61.0,腿部
275.0,24901.0,114.0,痛苦護腕,68.0,手腕
275.0,24904.0,117.0,雄鹿皮護軀,69.0,胸部
275.0,24905.0,117.0,雄鹿皮內襯手套,69.0,手
275.0,24911.0,120.0,虛空風暴護脛,70.0,腳
275.0,24916.0,120.0,虛空風暴肩衛,70.0,肩部
275.0,25007.0,114.0,征服者的護脛,68.0,腳
275.0,25055.0,114.0,紫翠玉戒指,68.0,手指
275.0,31306.0,115.0,聖羽護腿,70.0,腿部
350.0,36054.0,178.0,輔臣手套,79.0,手
350.0,36263.0,170.0,鸕鶿頭盔,77.0,頭部
350.0,36272.0,174.0,奧杜亞腿甲,78.0,腿部
375.0,39472.0,200.0,潛能能量之鍊,80.0,頸部
375.0,40426.0,200.0,協調者徽記,80.0,手指
425.0,55552.0,278.0,瑞斯班束腰,78.0,腰部
425.0,55593.0,306.0,纏結荊棘護手,83.0,手
475.0,59901.0,359.0,防護鼓脹鎧甲,85.0,肩部
475.0,69798.0,353.0,浮雕裹手,85.0,手
475.0,82201.0,400.0,格狀裹腕,87.0,手腕
475.0,82248.0,429.0,犛牛外衣,88.0,胸部
525.0,82929.0,415.0,鬼鑄胸甲,85.0,胸部
475.0,85832.0,384.0,霧皮腰帶,85.0,腰部
475.0,85834.0,384.0,霧皮護腕,85.0,手腕
475.0,85836.0,384.0,霧皮手套,85.0,手
475.0,85837.0,384.0,霧皮頭盔,85.0,頭部
475.0,85838.0,384.0,霧皮護腿,85.0,腿部
475.0,94029.0,429.0,謝世的擰魂者護肩,90.0,肩部
475.0,94035.0,429.0,原始浸血腰帶,90.0,腰部
575.0,94273.0,522.0,護靈者護足,90.0,腳
25.0,2991.0,21.0,光潔鍊甲長靴,16.0,腳
100.0,4726.0,36.0,主將披風,31.0,背部
150.0,7542.0,46.0,勇士護脛,41.0,腳
150.0,8259.0,50.0,蛇皮披風,45.0,背部
75.0,9823.0,31.0,耐用手套,26.0,手
225.0,10151.0,64.0,強大外套,59.0,胸部
75.0,14189.0,32.0,喚雨者軟帽,27.0,頭部
75.0,14583.0,32.0,妖鬼手套,27.0,手
225.0,14815.0,62.0,戰擊護手,57.0,手
125.0,14940.0,43.0,戰爭使者脛甲,40.0,腳
200.0,15191.0,57.0,豪華腰帶,52.0,腰部
50.0,15520.0,26.0,尖刺鍊甲護手,21.0,手
75.0,15554.0,33.0,掠取者束腰,28.0,腰部
75.0,15568.0,33.0,掠奪者披風,28.0,背部
100.0,15590.0,37.0,堅定手鐲,32.0,手腕
225.0,24808.0,81.0,不屈鍊甲外衣,57.0,胸部
275.0,25081.0,108.0,灣水盾牌,66.0,盾牌
325.0,44649.0,159.0,晶樹的趾甲,70.0,手
425.0,55511.0,300.0,黑羽脛甲,82.0,腳
475.0,60201.0,359.0,相位扭曲者護腿,85.0,腿部
475.0,69799.0,353.0,快手戒指,85.0,手指
125.0,14252.0,45.0,新月頭冠,40.0,頭部
225.0,14318.0,63.0,璀璨外套,58.0,胸部
225.0,24851.0,96.0,沼爪腿甲,62.0,腿部
450.0,66992.0,333.0,先驅者胸甲,85.0,胸部
50.0,3482.0,26.0,鍍銀青銅長靴,21.0,腳
225.0,14329.0,62.0,永恆長靴,57.0,腳
200.0,15665.0,60.0,深奧腿甲,55.0,腿部
150.0,8111.0,48.0,寒冬披肩,43.0,肩部
175.0,14796.0,53.0,保衛者腿甲,48.0,腿部
100.0,8159.0,40.0,矛騎兵束腰,40.0,腰部
225.0,8303.0,62.0,英雄胸甲,57.0,胸部
200.0,15432.0,58.0,無雙護肩,53.0,肩部
225.0,24810.0,81.0,不屈頭盔,57.0,頭部
125.0,9971.0,43.0,雕花鎧甲肩鎧,40.0,肩部
225.0,10149.0,61.0,強大護手,56.0,手
200.0,10219.0,60.0,新星頭環,55.0,頭部
225.0,14981.0,62.0,尊貴肩冑,57.0,肩部
150.0,14661.0,49.0,守衛者之索,44.0,腰部
225.0,15675.0,62.0,莊嚴盾牌,57.0,盾牌
125.0,14778.0,45.0,可汗束腕,40.0,手腕
1.0,15498.0,20.0,先驅者軟靴,15.0,腳
50.0,14183.0,30.0,看守者護腿,25.0,腿部
